Unnamed: 0,periodo,estu_tipodocumento,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_caracter,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,estu_genero,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
139,20224,2,2,2,1,1,6,8,1,1,2,2,3,3,0,0,0,0,2,2,2,2,2,2
140,20224,2,2,2,1,1,6,17,1,1,4,4,7,2,0,0,0,1,1,2,2,2,3,2
141,20224,1,1,2,1,1,2,7,1,2,7,4,7,1,0,0,0,0,2,2,2,2,2,3
142,20224,1,2,2,1,1,4,9,1,2,2,6,2,3,0,0,1,1,3,3,2,2,3,3
143,20224,1,2,2,1,1,6,13,1,2,1,8,2,3,1,0,0,1,3,3,3,3,3,3
144,20224,1,2,2,1,3,3,3,1,2,8,7,2,4,0,0,1,0,2,3,2,3,3,3
145,20224,1,2,2,1,1,2,16,1,1,5,5,3,2,0,0,1,1,2,3,3,3,3,3
146,20224,1,2,2,1,3,1,3,1,2,5,5,1,3,0,1,1,1,3,3,3,3,3,3
147,20224,1,2,2,1,1,2,3,1,2,7,7,2,2,0,1,1,1,3,3,3,3,3,3
148,20224,1,1,2,1,2,2,27,1,2,6,2,1,2,0,0,0,1,2,2,2,2,2,3
149,20224,1,2,2,1,1,2,9,1,1,5,4,1,2,0,0,1,1,2,3,2,3,3,3
150,20224,1,2,2,1,1,3,9,1,2,4,2,1,2,0,1,0,1,2,2,3,2,2,3
151,20224,1,2,2,1,3,1,3,1,2,5,5,2,3,0,0,1,1,2,2,2,2,2,2
152,20224,1,2,2,1,1,2,3,1,2,7,2,2,2,0,0,1,1,2,1,2,2,2,2
153,20224,1,1,2,1,3,2,29,1,1,4,4,1,3,0,0,0,1,2,2,2,2,2,2
154,20224,1,2,2,1,3,1,3,1,2,5,2,1,3,0,0,0,0,2,3,3,3,3,4
155,20224,1,2,2,1,3,2,3,2,2,2,2,4,3,0,1,1,1,3,2,3,3,3,3
156,20224,2,2,2,1,1,6,6,1,1,5,5,3,2,0,0,1,1,2,2,1,2,2,2
157,20224,1,2,2,1,2,6,3,1,1,11,7,3,2,0,1,1,1,2,2,1,2,2,2
158,20224,1,2,2,1,1,2,8,1,1,1,1,3,2,0,1,1,1,3,2,2,2,3,3
159,20224,2,1,2,1,1,2,12,1,2,3,3,7,4,0,0,0,1,2,2,2,2,3,3
160,20224,1,2,2,1,1,6,3,1,1,3,10,1,2,0,0,1,1,2,2,2,2,2,2
161,20224,1,2,2,1,2,2,15,1,1,5,5,6,2,0,0,0,0,2,2,2,2,2,3
162,20224,1,1,2,1,3,2,3,1,2,3,3,1,5,0,0,0,1,2,2,2,2,2,3
163,20224,1,1,2,1,1,2,15,1,2,10,10,7,5,0,0,0,0,2,2,2,2,2,3
164,20224,1,1,2,1,3,2,28,1,1,10,10,1,3,1,0,0,1,2,3,3,3,2,3
165,20224,2,2,2,1,2,3,12,1,2,2,8,7,3,0,0,1,0,2,1,2,2,2,2
166,20224,1,1,2,1,1,6,12,1,2,6,7,1,3,0,0,0,1,2,2,3,2,3,3
167,20224,2,2,2,1,1,3,11,1,2,3,10,1,3,0,1,0,1,2,1,2,2,2,2
168,20224,1,2,2,1,3,1,3,1,2,5,2,1,3,0,0,1,1,3,2,2,2,2,3
169,20224,1,2,2,1,3,6,3,1,2,7,7,1,3,0,1,1,0,2,2,1,2,2,3
170,20224,1,2,2,1,1,6,14,1,2,2,3,2,5,0,0,0,1,2,3,3,2,2,3
171,20224,1,2,2,1,1,1,8,1,2,2,5,2,3,0,0,0,1,2,1,1,2,2,2
172,20224,1,2,2,1,1,2,13,1,2,1,3,3,2,1,1,1,1,3,3,3,3,3,3
173,20224,1,1,2,1,1,6,6,1,2,2,2,1,4,0,0,0,1,3,3,2,3,3,3
174,20224,1,2,2,1,3,2,3,2,2,7,7,2,2,0,1,1,1,3,3,3,3,3,3
175,20224,1,2,2,1,3,1,3,1,2,7,6,2,3,0,0,1,1,2,3,2,2,2,3
176,20224,1,1,2,1,3,6,3,1,2,2,3,1,1,0,0,0,1,3,3,3,3,3,4
177,20224,1,1,2,1,1,1,3,1,1,5,2,1,2,0,0,0,0,3,3,3,3,3,4
178,20224,1,2,2,1,2,1,19,1,2,5,4,2,3,0,0,0,1,2,2,2,2,2,2
179,20224,1,2,2,1,3,2,3,2,1,2,1,2,3,0,1,1,1,3,3,3,3,3,3
180,20224,1,2,2,1,2,6,22,1,2,1,5,1,2,1,1,1,0,2,1,2,2,2,2
181,20224,1,2,2,1,2,6,3,1,1,5,5,3,2,0,0,1,1,2,2,2,2,2,3
182,20224,1,2,2,1,1,2,12,1,1,4,3,1,3,0,0,0,0,2,2,2,2,2,2
183,20224,1,2,2,1,1,6,3,1,1,3,3,1,3,0,0,0,0,2,3,3,2,2,3
184,20224,1,2,2,1,3,1,3,2,1,1,1,3,1,0,1,1,0,2,2,2,2,2,3
185,20224,1,2,2,1,3,3,19,1,1,4,3,2,2,1,1,1,1,2,1,2,2,2,2
186,20224,1,1,2,1,1,2,10,1,2,5,4,2,3,0,0,0,1,2,2,2,2,2,3
187,20224,1,2,2,1,1,4,3,1,2,1,1,3,3,0,1,1,1,3,3,3,3,3,4
188,20224,2,2,2,1,4,5,3,2,1,7,3,1,3,0,0,1,1,2,2,2,3,2,3
189,20224,1,2,2,1,3,4,3,2,2,1,1,4,2,1,1,1,1,3,3,2,2,3,3
190,20224,1,2,2,1,2,2,19,1,2,8,2,1,2,0,0,1,0,3,3,3,3,3,3
