id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
59	2022	1	2	2	1	3	4	3	2	1	1	1	3	2	1	1	1	1	2	3	4	3	3	3
60	2022	1	2	2	1	1	6	9	1	1	2	2	1	3	0	1	1	1	3	2	1	2	1	2
61	2022	1	2	2	1	1	2	9	1	2	5	2	1	3	0	0	1	1	3	3	2	3	3	3
62	2022	1	2	2	1	3	2	3	2	1	1	1	2	2	1	1	1	1	4	4	4	4	4	4
63	2022	2	2	2	1	1	3	3	1	2	3	3	1	3	0	0	1	0	1	1	2	1	1	1
64	2022	1	2	2	1	1	2	12	1	1	2	2	7	2	1	0	0	1	1	2	2	2	1	2
65	2022	1	2	2	1	1	1	3	1	1	2	2	1	3	0	0	1	1	4	4	4	4	4	4
66	2022	1	2	2	1	2	6	25	1	1	2	4	1	2	0	0	1	1	1	3	2	2	1	2
67	2022	1	1	2	1	1	6	16	1	2	7	3	3	1	1	1	1	1	3	4	4	4	4	4
68	2022	1	2	2	1	1	6	9	1	1	5	4	1	3	0	1	1	1	1	4	4	4	4	4
69	2022	1	2	2	1	3	2	3	2	2	7	7	4	2	1	1	1	1	4	3	4	4	4	4
70	2022	1	2	2	1	3	1	3	1	2	2	2	1	2	0	1	1	1	2	4	1	3	3	3
71	2022	1	2	2	1	1	6	5	1	1	3	3	1	4	0	0	0	1	2	2	1	1	2	2
72	2022	1	2	2	1	1	6	13	1	1	2	5	1	3	0	0	1	1	4	4	3	4	3	4
73	2022	1	2	2	1	3	2	3	2	2	1	8	3	2	0	1	1	1	4	3	2	3	3	3
74	2022	1	2	2	1	3	2	3	2	1	2	2	3	3	0	0	1	1	2	2	3	2	3	3
75	2022	1	2	2	1	1	6	24	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1
76	2022	1	1	2	1	1	2	13	1	1	5	10	1	3	0	0	0	1	2	1	1	1	1	1
77	2022	1	2	2	1	1	2	12	1	2	2	3	7	2	0	0	1	1	2	2	2	2	3	3
78	2022	1	1	2	1	1	2	1	1	2	5	4	7	3	0	0	0	1	1	1	2	1	1	1
79	2022	1	2	2	1	1	6	9	1	2	11	8	2	2	0	1	1	1	3	2	3	3	3	3
80	2022	1	2	2	1	3	2	3	2	2	1	1	3	2	1	1	1	1	4	4	4	4	4	4
81	2022	1	1	2	1	1	1	10	1	2	3	2	7	1	0	0	0	1	1	2	2	3	2	2
82	2022	1	1	2	1	1	1	3	1	1	2	2	2	3	0	1	1	1	2	3	2	2	3	2
83	2022	1	2	2	1	1	2	7	1	1	5	2	2	3	0	0	0	1	2	1	1	2	1	1
84	2022	1	2	2	1	1	6	11	1	2	1	7	3	3	0	0	1	1	2	3	2	3	2	3
85	2022	1	2	2	1	3	2	3	2	1	7	5	1	2	0	0	1	1	3	3	4	4	3	4
86	2022	1	2	2	1	1	6	18	1	1	2	2	3	2	0	0	0	1	1	1	1	1	1	1
87	2022	1	2	2	1	3	2	13	2	2	9	1	3	2	0	1	1	1	4	4	4	4	4	4
88	2022	1	2	2	1	3	2	3	1	2	11	2	3	3	0	1	1	1	4	4	4	4	4	4
