ID;periodo;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;estu_genero;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;punt_ingles;punt_matematicas;punt_sociales_ciudadanas;punt_c_naturales;punt_lectura_critica;punt_global
33;20224;2;2;2;1;3;5;3;1;2;0;0;0;3;0;1;3;1;2;1;2;1;2;2
34;20224;1;1;2;1;1;2;9;1;2;3;3;7;0;0;0;0;1;2;2;2;2;3;3
35;20224;1;1;2;1;1;1;14;1;2;5;3;1;2;0;0;0;1;2;2;2;2;2;2
36;20224;1;2;0;1;3;3;3;1;1;7;8;1;2;0;1;1;1;3;3;3;2;3;3
37;20224;2;2;2;1;3;3;3;1;2;5;2;3;3;0;1;1;1;2;2;2;2;3;3
38;20224;2;2;2;1;1;6;8;1;1;10;10;1;3;0;0;0;0;2;2;2;2;2;2
39;20224;2;2;2;1;3;3;9;1;2;3;10;3;2;0;3;1;0;2;2;2;2;2;2
40;20224;1;2;2;1;2;2;15;1;1;2;2;1;5;0;0;0;0;2;3;2;3;3;3
41;20224;1;2;2;1;1;2;12;1;1;2;2;2;3;1;1;1;1;2;2;2;2;2;2
42;20224;1;2;2;1;2;6;16;1;2;3;6;2;4;0;0;0;1;3;2;2;2;2;3
43;20224;1;2;0;1;1;6;17;1;1;3;3;1;4;0;0;0;0;2;3;3;3;3;3
44;20224;2;2;2;1;2;3;12;1;2;6;2;3;3;0;0;1;0;2;2;2;2;2;2
45;20224;1;2;2;1;1;1;3;1;2;7;7;3;2;0;1;1;1;3;3;2;2;3;3
46;20224;1;2;2;1;1;6;11;1;1;11;2;1;3;0;0;1;0;2;3;3;3;3;3
47;20224;2;2;2;1;1;6;18;1;1;4;3;1;2;0;0;0;0;2;2;2;2;2;2
48;20224;2;2;2;1;3;3;19;2;2;5;5;2;4;0;0;0;1;2;2;2;2;2;3
49;20224;1;1;2;1;1;2;20;1;2;2;1;2;2;0;0;0;1;2;2;2;2;2;3
50;20224;1;2;2;1;3;2;19;1;2;2;2;2;2;0;0;0;0;2;2;2;2;2;2
51;20224;1;2;0;1;3;6;3;1;1;2;2;2;2;0;1;1;1;3;3;2;2;2;3
52;20224;1;1;2;1;1;2;20;1;2;7;5;2;3;0;0;0;1;2;2;2;2;2;2
53;20224;1;2;2;1;1;1;3;1;1;2;1;3;1;0;1;1;1;3;4;3;4;4;4
54;20224;2;1;2;1;3;6;21;1;1;3;3;1;0;3;3;0;3;2;2;3;3;3;3
55;20224;1;2;2;1;1;4;3;1;2;1;1;3;3;0;1;1;0;4;3;4;4;4;4
56;20224;1;2;2;1;1;1;3;1;1;7;1;4;2;1;1;1;1;3;3;3;3;4;4
57;20224;1;2;2;1;1;2;12;1;2;7;3;1;3;0;1;0;1;2;2;2;2;2;3
58;20224;1;1;2;1;1;2;10;1;2;10;10;7;2;0;0;0;0;2;2;2;2;2;3
59;20224;1;2;2;1;2;3;22;1;2;1;7;5;1;0;0;1;0;2;1;2;2;2;2
60;20224;1;1;2;1;1;1;10;1;2;2;3;2;2;1;0;0;0;2;2;2;2;2;3
61;20224;1;2;2;1;3;1;3;1;2;5;5;1;2;0;0;0;1;3;3;2;2;3;3
62;20224;1;1;2;1;1;2;10;1;2;1;7;2;2;0;1;1;1;2;2;3;2;3;3
63;20224;1;2;2;1;1;2;23;1;2;5;3;1;3;0;0;1;1;3;2;2;2;2;3
64;20224;1;1;0;1;1;6;4;1;1;5;2;3;3;0;0;1;1;1;2;1;2;2;3
65;20224;1;2;2;1;3;2;3;2;1;9;1;4;2;1;1;1;1;3;3;3;3;4;4
66;20224;1;2;2;1;3;2;3;2;1;7;7;2;2;1;1;1;1;3;2;2;2;2;2
67;20224;1;2;2;1;1;2;23;1;2;4;5;3;3;0;0;0;0;2;2;2;2;2;2
68;20224;1;1;2;1;1;2;12;1;1;0;0;0;4;1;1;3;1;2;2;2;2;3;3
69;20224;1;2;2;1;1;6;8;1;2;1;2;1;1;0;0;0;1;2;2;1;2;2;2
